ം	0
മ	0
ம	0
വ	1
வ்	1
வ	1
ഷ	2
ஷ	2
ഔ	3
ൌ	3
ൗ	3
ௌ	3
ഈ	4
ീ	4
ஈ	4
ீ	4
ആ	5
ാ	5
ஆ	5
ா	5
൧	6
௧	6
൦	7
௦	7
൩	8
௩	8
൫	9
௫	9
൪	10
௪	10
൭	11
௭	11
൬	12
௬	12
൯	13
௯	13
൮	14
௮	14
ജ	15
ஜ	15
ഏ	16
േ	16
ஏ	16
ே	16
സ	17
ஸ	17
ങ	18
ங	18
ங்	18
ഊ	19
ൂ	19
ஊ	19
ூ	19
ശ	20
ஶ	20
൨	21
௨	21
റ	22
ற	22
ற்	22
ട	23
ட்	23
ட	23
ച	24
ச	24
ச்	24
ഐ	25
ൈ	25
ை	25
ഓ	26
ോ	26
ஓ	26
ோ	26
അ	27
அ	27
ത	28
த்	28
த	28
എ	29
െ	29
எ	29
ெ	29
ഇ	30
ി	30
இ	30
ி	30
ക	31
ൿ	31
க	31
க்	31
യ	32
ய்	32
ய	32
ൾ	33
ള	33
ள	33
ள்	33
ല	34
ൽ	34
ல்	34
ഒ	35
ൊ	35
ஒ	35
ொ	35
ഩ	36
ന	36
ൻ	36
ன	36
പ	37
ப	37
ப்	37
ൺ	38
ണ	38
ண	38
ண்	38
ഞ	39
ஞ்	39
ஞ	39
ഉ	40
ു	40
உ	40
ு	40
ഃ	41
ஹ	41
ഴ	42
ழ	42
ழ்	42
ര	43
ർ	43
ர	43
ഫ	44
ദ	45
ഝ	46
ൡ	47
ൣ	47
്	48
ഭ	49
ധ	50
ഽ	51
ഢ	52
ഠ	53
ൢ	54
ഌ	54
ഖ	55
ഗ	56
ഋ	57
ഘ	58
ഥ	59
ഡ	60
ബ	61
ഹ	62
ൄ	63
ൠ	63
ഺ	64
ൃ	65
ഛ	66
ஔ	67
்	68
ஂ	69
௲	70
௱	71
௰	72
ந்	73
ந	73
ஃப	74
ஐ	75
ஃ	76
