ஃ	x
அ	a
இ	i
ஆ	aː
உ	u
ஈ	iː
ஊ	uː
ஏ	eː
எ	e
ஐ	aɪ̯
ஓ	oː
ஒ	o
க	k
ஔ	aʊ̯
ங	ŋ
ச	tʃ
ஜ	d͡ʑ
ட	ʈ
ஞ	ɲ
ண	ɳ
த	t̪
ன	̃
ந	n̪
ப	p
ய	j
ம	̃
ற	r
ர	ɾ̪
ள	ɭ
ல	l̪
வ	ʋ
ழ	ɻ
ச்	tʃ
ய்	j
௪	4
வ்	ʋ
ஞ்	ɲ
ள்	ɭ
ஜ்	dʒ
ற்	r
த்	t̪
ஹ்	h
ஷ்	ʂ
ப்	p
﻿க்	k
ந்	n̪
ங்	ŋ
ம்	m
ட்	ʈ
ழ்	ɻ
ஃஜ	z
ல்	l
ர்	ɾ
ஃப	f
௬	6
௧	1
ண்	ɳ
ஸ்	s
௩	3
௨	2
௦	0
௭	7
ஶ்	ɕ
௯	9
௮	8
௱	100
௰	10
௲	1000
ன்	n
௫	5
